,tconst,averageRating,numVotes
889895,tt2140553,9.7,75503
892148,tt21480058,9.5,5828
893769,tt2157959,9.5,2496
893770,tt2157961,9.5,2451
898197,tt2178784,9.9,116870
898201,tt2178798,9.5,42025
900723,tt2186266,9.5,3128
902987,tt21935338,9.6,1226
906783,tt22050490,9.5,4929
907333,tt2206695,9.5,2239
912782,tt2232733,9.5,2807
915374,tt2246005,9.6,3751
918600,tt2261334,9.5,3113
919732,tt2268126,9.5,4323
925906,tt2298792,9.5,1828
926326,tt2301445,9.6,36741
926328,tt2301449,9.8,54247
926330,tt2301451,10.0,213300
926331,tt2301453,9.7,52943
926332,tt2301455,9.9,138195
926337,tt2301463,9.7,40060
926339,tt2301467,9.6,36729
926340,tt2301469,9.6,35728
926496,tt23018612,9.6,1751
928023,tt2308789,9.8,2302
934952,tt23471800,9.5,12094
936292,tt23555482,9.7,1028
937580,tt2361650,9.6,1217
937581,tt2361652,9.7,2410
938535,tt23644208,9.5,4131
939862,tt23708680,9.6,2283
942782,tt2380789,9.6,6019
944760,tt23875694,9.5,1173
944766,tt23875708,9.5,1416
944767,tt23875710,9.7,2089
944768,tt23875712,9.7,2337
947228,tt23994498,9.5,1411
947446,tt2400629,9.6,1275
947659,tt2401584,9.7,3544
947966,tt2402498,9.5,2133
948396,tt2404462,9.5,2438
948398,tt2404464,9.5,2165
949625,tt2414266,9.6,3759
950332,tt2421174,9.7,3992
962737,tt2542356,9.7,6859
963887,tt2553414,9.7,8355
969920,tt2620082,9.6,3061
970428,tt26230386,9.6,17615
970429,tt26230388,9.7,13951
971506,tt2628854,9.7,6550
973256,tt26420417,9.6,5529
973307,tt26421545,9.7,1124
973695,tt26432195,9.5,4234
977652,tt2665386,9.5,3009
978905,tt2669746,9.8,21479
981588,tt26897484,9.5,3702
983669,tt27033613,9.5,2820
988838,tt2728492,9.7,3472
988840,tt2728496,9.6,3258
992367,tt27488513,9.6,3913
995008,tt27589539,9.7,5864
995009,tt27589543,9.6,5136
997873,tt27715317,9.6,65786
1001660,tt27896202,9.7,1035
1001739,tt27899596,9.7,1186
1001779,tt2790174,9.6,34551
1001784,tt2790196,9.5,26211
1001800,tt2790254,9.5,30373
1003721,tt28014043,9.9,1168
1005356,tt2811510,9.5,9390
1005857,tt28145495,9.5,10781
1006450,tt28188360,9.7,1207
1007302,tt28244505,9.5,5840
1007304,tt28244508,9.5,5082
1008749,tt28306789,9.9,1074
1009065,tt28317654,9.5,4207
1009067,tt28317658,9.5,4224
1009110,tt2832378,9.7,60252
1009193,tt2832792,9.5,4487
1009827,tt28362335,9.6,9438
1010031,tt28372238,9.6,9395
1011356,tt28478483,9.5,3986
1012377,tt28515477,9.7,10566
1019553,tt29044700,9.6,1112
1023745,tt29333862,9.7,2047
1023910,tt29340833,9.8,2223
1023938,tt29341882,9.9,2033
1023940,tt29341948,9.8,2193
1023941,tt29341977,9.8,2205
1023986,tt29343537,9.8,2175
1023993,tt29343648,9.9,1028
1025251,tt29419257,9.6,2386
1026195,tt29466076,9.6,1223
1026688,tt2948638,9.6,29692
1027032,tt29506350,9.6,8194
1027933,tt29550532,9.6,4488
1028908,tt29609729,9.6,8420
1029160,tt29621863,9.8,14576
1029162,tt29621867,9.8,12608
1029259,tt29626909,9.6,6552
1029260,tt29626913,9.7,8014
1032257,tt29869235,9.9,1808
1032732,tt29902774,9.6,1315
1033297,tt2993508,9.6,32932
1035889,tt30145246,9.5,1099
1037317,tt30263074,9.5,60920
1037496,tt30273837,9.6,4659
1037497,tt30273845,9.6,4402
1037498,tt30273847,9.7,5254
1037499,tt30273849,9.6,5282
1037500,tt30273851,9.7,6518
1041198,tt3060782,9.7,59971
1041220,tt3060858,9.6,52769
1041221,tt3060860,9.6,51508
1041240,tt3060910,9.7,58494
1041577,tt30643438,9.7,1537
1041806,tt30673629,9.7,12672
1041909,tt3068760,9.6,3602
1044462,tt30882773,10.0,1182
1044536,tt30887854,10.0,1198
1044626,tt30893218,10.0,1185
1044627,tt30893221,10.0,1180
1048272,tt31158074,9.6,3669
1048973,tt31216294,9.7,1072
1049961,tt31307854,9.7,1074
1051716,tt3148020,9.5,24428
1052814,tt31599219,9.6,1011
1056331,tt3210430,9.6,1273
1057814,tt3230908,9.8,21348
1058068,tt3234826,9.6,1875
1058450,tt3240510,9.5,4941
1062115,tt3288964,9.5,2928
1062260,tt3291628,9.7,6605
1062768,tt3297776,9.6,30648
1064736,tt3326208,9.5,7102
1064973,tt3329334,9.5,3049
1065129,tt3331452,9.7,6516
1069210,tt3390684,9.5,10832
1070731,tt3413220,9.5,2315
1085485,tt3615630,9.7,6088
1089530,tt3673600,9.8,10509
1090320,tt3683576,9.5,14288
1090578,tt3686592,9.6,3590
1092032,tt3708414,9.6,3741
1092860,tt3719468,9.5,1645
1094230,tt3740788,9.5,3672
1094833,tt3748226,9.5,5278
1094847,tt3748420,9.8,10511
1096170,tt3767938,9.8,10230
